code,language,error_type,predicted
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"if True:
x = 5",Python,IndentationError,IndentationError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
int result = 10 / 0;,Java,DivisionByZero,DivisionByZero
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
result = math.sqrt(16),Python,MissingImport,MissingImport
float unused = 3.14; return 0;,C,UnusedVariable,MissingDelimiter
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
"if True:
x = 5",Python,IndentationError,IndentationError
int x = 5,Java,MissingDelimiter,DivisionByZero
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"int x = ""5"" + 3;",Java,TypeMismatch,DivisionByZero
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
from math import *,Python,WildcardImport,WildcardImport
from math import *,Python,WildcardImport,WildcardImport
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
int x = 10,Java,MissingDelimiter,DivisionByZero
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"printf(""Hello);",C,UnclosedString,UnclosedString
5 = x,Python,InvalidAssignment,InvalidAssignment
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int r = 25 / (b - b);,C,DivisionByZero,DivisionByZero
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"string msg = ""error;",C++,UnclosedString,UnclosedString
"cout << ""Hello;",C++,UnclosedString,UnclosedString
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int z = 30,C++,MissingDelimiter,MissingDelimiter
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
"while True:
break",Python,IndentationError,IndentationError
from math import *,Python,WildcardImport,WildcardImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
df = pd.DataFrame(),Python,MissingImport,MissingImport
"string msg = ""error;",C++,UnclosedString,UnclosedString
"""hello"" = str;",Java,InvalidAssignment,InvalidAssignment
"def test():
print('error')",Python,IndentationError,IndentationError
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
result = x + y,Python,NameError,NameError
print('Hello),Python,UnclosedString,UnclosedString
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"System.out.println(""Hello);",Java,UnclosedString,UnclosedString
from math import *,Python,WildcardImport,WildcardImport
"if (x > 5 { cout << ""big""; }",C++,UnmatchedBracket,UnmatchedBracket
from os import *,Python,WildcardImport,WildcardImport
from datetime import *,Python,WildcardImport,WildcardImport
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
"def test():
print('error')",Python,IndentationError,IndentationError
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
"re.match(r'\d+', '123')",Python,MissingImport,MissingImport
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"cout << ""Hello"";",C++,MissingInclude,UnclosedString
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
print('Hello),Python,UnclosedString,UnclosedString
int y = 20,C,MissingDelimiter,MissingDelimiter
"cout << ""Hello;",C++,UnclosedString,UnclosedString
int x = 10,C,MissingDelimiter,DivisionByZero
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
"for (;;) { printf(""loop""); }",C,InfiniteLoop,InfiniteLoop
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
"plt.plot([1,2,3])",Python,MissingImport,MissingImport
int r = 25 / (b - b);,C,DivisionByZero,DivisionByZero
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
"System.out.println(""Hello);",Java,UnclosedString,UnclosedString
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
5 = x;,C++,InvalidAssignment,InvalidAssignment
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"printf(""Hello);",C,UnclosedString,UnclosedString
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
from os import *,Python,WildcardImport,WildcardImport
"int x = ""5"";",C,TypeMismatch,DivisionByZero
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
from math import *,Python,WildcardImport,WildcardImport
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
while (true { break; },C,UnmatchedBracket,IndentationError
print(x),Python,NameError,NameError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
from math import *,Python,WildcardImport,WildcardImport
from os import *,Python,WildcardImport,WildcardImport
print(x),Python,NameError,NameError
5 = x;,Java,InvalidAssignment,InvalidAssignment
int x = 10,Java,MissingDelimiter,DivisionByZero
int z = 30,C++,MissingDelimiter,MissingDelimiter
from random import *,Python,WildcardImport,WildcardImport
int y = 20,C++,MissingDelimiter,MissingDelimiter
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
from math import *,Python,WildcardImport,WildcardImport
total = count * 2,Python,NameError,NameError
"int i = 0; while (i < 10) { printf(""%d"", i); }",C,InfiniteLoop,InfiniteLoop
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
from random import *,Python,WildcardImport,WildcardImport
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
int x = 5,Java,MissingDelimiter,DivisionByZero
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
from os import *,Python,WildcardImport,WildcardImport
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
"while (true) { System.out.println(""loop""); }",Java,InfiniteLoop,InfiniteLoop
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
print(name),Python,NameError,NameError
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
"if True:
x = 5",Python,IndentationError,IndentationError
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
print(x),Python,NameError,NameError
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
"int x = 10; printf(""Hi"");",C,UnusedVariable,UnusedVariable
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
5 = x;,Java,InvalidAssignment,InvalidAssignment
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
int z = 30,C++,MissingDelimiter,MissingDelimiter
for (auto i : vec { },C++,UnmatchedBracket,UnmatchedBracket
"plt.plot([1,2,3])",Python,MissingImport,MissingImport
"while (true) { System.out.println(""loop""); }",Java,InfiniteLoop,InfiniteLoop
for (int i = 0; i < 10; i++ { },C,UnmatchedBracket,InfiniteLoop
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
"printf(""Hello);",C,UnclosedString,UnclosedString
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int x = 10,C++,MissingDelimiter,DivisionByZero
print('Hello),Python,UnclosedString,UnclosedString
"printf(""Hello);",C,UnclosedString,UnclosedString
now = datetime.now(),Python,MissingImport,MissingImport
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
from math import *,Python,WildcardImport,WildcardImport
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
now = datetime.now(),Python,MissingImport,MissingImport
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
5 = x;,Java,InvalidAssignment,InvalidAssignment
int x = 10,Java,MissingDelimiter,DivisionByZero
"int add() { return 1; }
int add() { return 2; }",Java,DuplicateDefinition,DuplicateDefinition
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
total = count * 2,Python,NameError,NameError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
int result = 10 / 0;,Java,DivisionByZero,DivisionByZero
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
float unused = 3.14; return 0;,C,UnusedVariable,MissingDelimiter
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
print(x),Python,NameError,NameError
now = datetime.now(),Python,MissingImport,MissingImport
int x = 10,Java,MissingDelimiter,DivisionByZero
int x = 10,C++,MissingDelimiter,DivisionByZero
from math import *,Python,WildcardImport,WildcardImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
int result = 10 / 0;,C,DivisionByZero,DivisionByZero
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
request.get('url'),Python,MissingImport,MissingImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
5 = x;,C++,InvalidAssignment,InvalidAssignment
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
from os import *,Python,WildcardImport,WildcardImport
int x = 10,C++,MissingDelimiter,DivisionByZero
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
from datetime import datetimee,Python,ImportError,ImportError
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
5 = x,Python,InvalidAssignment,InvalidAssignment
"printf(""Hello"");",C,MissingInclude,UnclosedString
return 0,C++,MissingDelimiter,MissingDelimiter
"int main() { printf(""Hello""); return 0; }",C,MissingInclude,MissingInclude
char c = 'a'; int result = 5;,C,UnusedVariable,DivisionByZero
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
"def test():
print('error')",Python,IndentationError,IndentationError
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
"int main() {
  cout << ""Hi"";
",C++,UnmatchedBracket,UnmatchedBracket
int y = 20,C,MissingDelimiter,MissingDelimiter
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
from math import *,Python,WildcardImport,WildcardImport
while (1) { },C,InfiniteLoop,InfiniteLoop
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
from math import *,Python,WildcardImport,WildcardImport
result = math.sqrt(16),Python,MissingImport,MissingImport
5 = x,Python,InvalidAssignment,InvalidAssignment
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
"def test():
print('error')",Python,IndentationError,IndentationError
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
"while (true) { System.out.println(""loop""); }",Java,InfiniteLoop,InfiniteLoop
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
int main() { vector<int> v; return 0; },C++,MissingInclude,MissingInclude
from datetime import *,Python,WildcardImport,WildcardImport
"""hello"" = str;",C++,InvalidAssignment,InvalidAssignment
print(x),Python,NameError,NameError
"int calc(int a, int b { return a + b; }",C,UnmatchedBracket,MissingDelimiter
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
df = pd.DataFrame(),Python,MissingImport,MissingImport
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
5 = x;,C,InvalidAssignment,InvalidAssignment
"String s = ""hello;",Java,UnclosedString,UnclosedString
"cout << ""Hello;",C++,UnclosedString,UnclosedString
5 = x;,C,InvalidAssignment,InvalidAssignment
print(x),Python,NameError,NameError
from datetime import datetimee,Python,ImportError,ImportError
from random import *,Python,WildcardImport,WildcardImport
"def func():
print('Hi')",Python,IndentationError,IndentationError
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
"System.out.println(""Hello);",Java,UnclosedString,UnclosedString
struct Point { int x; int y;,C,UnmatchedBracket,UnmatchedBracket
"printf(""Hello);",C,UnclosedString,UnclosedString
print(name),Python,NameError,NameError
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
int x = 10,Java,MissingDelimiter,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
5 = x;,C,InvalidAssignment,InvalidAssignment
"random.randint(1, 10)",Python,MissingImport,MissingImport
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
"int x = ""5"";",C,TypeMismatch,DivisionByZero
"re.match(r'\d+', '123')",Python,MissingImport,MissingImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"while True:
break",Python,IndentationError,IndentationError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print(undefined_var),Python,NameError,NameError
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
print('Hello),Python,UnclosedString,UnclosedString
from random import *,Python,WildcardImport,WildcardImport
from random import *,Python,WildcardImport,WildcardImport
int x = 10,Java,MissingDelimiter,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
"int x = ""text"";",C,TypeMismatch,TypeMismatch
print(name),Python,NameError,NameError
"while True:
break",Python,IndentationError,IndentationError
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
print(name),Python,NameError,NameError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
10 + 5 = result;,C++,InvalidAssignment,DivisionByZero
from math import *,Python,WildcardImport,WildcardImport
from datetime import *,Python,WildcardImport,WildcardImport
"def test():
print('error')",Python,IndentationError,IndentationError
from math import *,Python,WildcardImport,WildcardImport
return 0,C++,MissingDelimiter,MissingDelimiter
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
"def func():
print('Hi')",Python,IndentationError,IndentationError
5 = x;,C,InvalidAssignment,InvalidAssignment
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"while True:
break",Python,IndentationError,IndentationError
print(name),Python,NameError,NameError
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
result = 100 / (x - x),Python,DivisionByZero,DivisionByZero
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
"printf(""Hello);",C,UnclosedString,UnclosedString
print('Hello),Python,UnclosedString,UnclosedString
return result,Java,MissingDelimiter,MissingDelimiter
return 0,C++,MissingDelimiter,MissingDelimiter
"int x = ""hello"";",C++,TypeMismatch,TypeMismatch
int result = 10 / 0;,C++,DivisionByZero,DivisionByZero
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
"def func():
print('Hi')",Python,IndentationError,IndentationError
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
"System.out.println(""test);",Java,UnclosedString,UnclosedString
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
int x = 5; int x = 10;,C,DuplicateDefinition,DivisionByZero
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
result = 100 / (x - x),Python,DivisionByZero,DivisionByZero
total = count * 2,Python,NameError,NameError
from datetime import *,Python,WildcardImport,WildcardImport
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
5 = x,Python,InvalidAssignment,InvalidAssignment
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
"cout << ""Hello"";",C++,MissingInclude,UnclosedString
struct Point { int x; int y;,C,UnmatchedBracket,UnmatchedBracket
"while True:
break",Python,IndentationError,IndentationError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"printf(""%d"", x);",C,UndeclaredIdentifier,UndeclaredIdentifier
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
print(name),Python,NameError,NameError
"printf(""Hello"");",C,MissingInclude,UnclosedString
return 0,C++,MissingDelimiter,MissingDelimiter
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
"int i = 0; while (i < 10) { printf(""%d"", i); }",C,InfiniteLoop,InfiniteLoop
int x = 5,Java,MissingDelimiter,DivisionByZero
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
10 + 5 = result;,C++,InvalidAssignment,DivisionByZero
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
int x = 5,Java,MissingDelimiter,DivisionByZero
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
return 0,C++,MissingDelimiter,MissingDelimiter
"for (;;) { printf(""loop""); }",C,InfiniteLoop,InfiniteLoop
"printf(""%d"", x);",C,UndeclaredIdentifier,UndeclaredIdentifier
"int x = ""text"";",C,TypeMismatch,TypeMismatch
"def func():
print('Hi')",Python,IndentationError,IndentationError
print(undefined_var),Python,NameError,NameError
"while True:
break",Python,IndentationError,IndentationError
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
int main() { vector<int> v; return 0; },C++,MissingInclude,MissingInclude
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"if (x > 5 { cout << ""big""; }",C++,UnmatchedBracket,UnmatchedBracket
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"printf(""%d"", x);",C,UndeclaredIdentifier,UndeclaredIdentifier
from random import *,Python,WildcardImport,WildcardImport
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
